entry_type,length,last_write_time,full_name,extracted_path
.store.db,14553088,2025-12-03T19:09:01.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\MobileMailIndex\index.spotlightV2\.store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\MobileMailIndex\index.spotlightV2\.store.db"
store.db,14553088,2025-12-03T18:18:54.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\MobileMailIndex\index.spotlightV2\store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\MobileMailIndex\index.spotlightV2\store.db"
.store.db,53248,2025-12-03T18:18:51.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionComplete\index.spotlightV2\.store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionComplete\index.spotlightV2\.store.db"
store.db,53248,2025-12-03T18:18:51.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionComplete\index.spotlightV2\store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionComplete\index.spotlightV2\store.db"
.store.db,36864,2025-12-03T18:18:52.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteUnlessOpen\index.spotlightV2\.store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteUnlessOpen\index.spotlightV2\.store.db"
store.db,36864,2025-12-03T18:18:52.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteUnlessOpen\index.spotlightV2\store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteUnlessOpen\index.spotlightV2\store.db"
.store.db,281710592,2025-12-03T19:53:38.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteUntilFirstUserAuthentication\index.spotlightV2\.store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteUntilFirstUserAuthentication\index.spotlightV2\.store.db"
store.db,281710592,2025-12-03T19:30:30.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteUntilFirstUserAuthentication\index.spotlightV2\store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteUntilFirstUserAuthentication\index.spotlightV2\store.db"
.store.db,36864,2025-12-03T18:18:54.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteWhenUserInactive\index.spotlightV2\.store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteWhenUserInactive\index.spotlightV2\.store.db"
store.db,36864,2025-12-03T18:18:54.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteWhenUserInactive\index.spotlightV2\store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\NSFileProtectionCompleteWhenUserInactive\index.spotlightV2\store.db"
.store.db,1626112,2025-12-03T19:17:17.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\Priority\index.spotlightV2\.store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\Priority\index.spotlightV2\.store.db"
store.db,1626112,2025-12-03T18:31:48.0000000Z,"Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\Priority\index.spotlightV2\store.db","Q:\SpotlightCase\TestiOS_WhatsApp_V0_9_4\EvidenceStaging\zip_source\extracted\private\var\mobile\Library\Spotlight\CoreSpotlight\Priority\index.spotlightV2\store.db"
